x;y;z
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,1831111;0,2099673;-0,9482711
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2128971;0,1987365;-0,9209265
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,2419508;0,1560106;-0,9106723
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1428266;0,05005036;-0,9741509
0,1311075;0,04980621;-1,076205
0,1311075;0,04980621;-1,076205
0,1311075;0,04980621;-1,076205
0,1311075;0,04980621;-1,076205
0,1311075;0,04980621;-1,076205
0,1311075;0,04980621;-1,076205
0,1311075;0,04980621;-1,076205
0,1311075;0,04980621;-1,076205
0,1311075;0,04980621;-1,076205
0,1311075;0,04980621;-1,076205
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
